label,newspaper,year,rel_bias,topic
Le Figaro_2002,Le Figaro,2002,0.00803468469530344,Etat
Le Figaro_2003,Le Figaro,2003,0.0026893476024270058,Etat
Le Figaro_2004,Le Figaro,2004,0.007869050838053226,Etat
Le Figaro_2005,Le Figaro,2005,0.0037866244092583656,Etat
Le Figaro_2006,Le Figaro,2006,0.003827405162155628,Etat
Le Figaro_2007,Le Figaro,2007,0.010258092544972897,Etat
Le Figaro_2008,Le Figaro,2008,0.00947409775108099,Etat
Le Figaro_2009,Le Figaro,2009,0.00402896199375391,Etat
Le Figaro_2010,Le Figaro,2010,0.00496309157460928,Etat
Le Figaro_2011,Le Figaro,2011,0.008821110241115093,Etat
Le Figaro_2012,Le Figaro,2012,0.006958487443625927,Etat
Le Figaro_2013,Le Figaro,2013,0.00938738789409399,Etat
Le Figaro_2014,Le Figaro,2014,0.007169906981289387,Etat
Le Figaro_2015,Le Figaro,2015,0.010087701492011547,Etat
Le Figaro_2016,Le Figaro,2016,0.017033294774591923,Etat
Le Figaro_2017,Le Figaro,2017,0.011100013740360737,Etat
Le Figaro_2018,Le Figaro,2018,0.009747601114213467,Etat
Le Figaro_2019,Le Figaro,2019,0.011436854489147663,Etat
Le Figaro_2020,Le Figaro,2020,0.010433646850287914,Etat
Le Figaro_2021,Le Figaro,2021,0.008985635824501514,Etat
Le Monde_2002,Le Monde,2002,0.000833829864859581,Etat
Le Monde_2003,Le Monde,2003,-0.004333979450166225,Etat
Le Monde_2004,Le Monde,2004,-0.0027314377948641777,Etat
Le Monde_2005,Le Monde,2005,-0.004586328752338886,Etat
Le Monde_2006,Le Monde,2006,0.0001985626295208931,Etat
Le Monde_2007,Le Monde,2007,-0.00032341666519641876,Etat
Le Monde_2008,Le Monde,2008,-0.003204651176929474,Etat
Le Monde_2009,Le Monde,2009,-0.009293207898736,Etat
Le Monde_2010,Le Monde,2010,-0.00536979828029871,Etat
Le Monde_2011,Le Monde,2011,-0.001739945262670517,Etat
Le Monde_2012,Le Monde,2012,-0.004084843210875988,Etat
Le Monde_2013,Le Monde,2013,-0.00494096614420414,Etat
Le Monde_2014,Le Monde,2014,-0.0035179993137717247,Etat
Le Monde_2015,Le Monde,2015,-0.006028173957020044,Etat
Le Monde_2016,Le Monde,2016,-0.007814731914550066,Etat
Le Monde_2017,Le Monde,2017,-0.0035608960315585136,Etat
Le Monde_2018,Le Monde,2018,0.0018047075718641281,Etat
Le Monde_2019,Le Monde,2019,-0.009852699469774961,Etat
Le Monde_2020,Le Monde,2020,-0.004468419589102268,Etat
Le Monde_2021,Le Monde,2021,-0.010363757144659758,Etat
Le Monde_2022,Le Monde,2022,-0.017081930302083492,Etat
