label,newspaper,year,rel_bias,topic
Le Figaro_2002,Le Figaro,2002,0.021091194357722998,immigration
Le Figaro_2003,Le Figaro,2003,0.01955683622509241,immigration
Le Figaro_2004,Le Figaro,2004,0.017243020236492157,immigration
Le Figaro_2005,Le Figaro,2005,0.028646123595535755,immigration
Le Figaro_2006,Le Figaro,2006,0.03451654873788357,immigration
Le Figaro_2007,Le Figaro,2007,0.035503413528203964,immigration
Le Figaro_2008,Le Figaro,2008,0.027841282077133656,immigration
Le Figaro_2009,Le Figaro,2009,0.03852400928735733,immigration
Le Figaro_2010,Le Figaro,2010,0.02844162844121456,immigration
Le Figaro_2011,Le Figaro,2011,0.0316825732588768,immigration
Le Figaro_2012,Le Figaro,2012,0.031164301559329033,immigration
Le Figaro_2013,Le Figaro,2013,0.0221925494261086,immigration
Le Figaro_2014,Le Figaro,2014,0.024400820955634117,immigration
Le Figaro_2015,Le Figaro,2015,0.009300834964960814,immigration
Le Figaro_2016,Le Figaro,2016,0.0059510450810194016,immigration
Le Figaro_2017,Le Figaro,2017,0.017272907542064786,immigration
Le Figaro_2018,Le Figaro,2018,0.023131604306399822,immigration
Le Figaro_2019,Le Figaro,2019,0.029529507271945477,immigration
Le Figaro_2020,Le Figaro,2020,0.015998346148990095,immigration
Le Figaro_2021,Le Figaro,2021,0.017484791111201048,immigration
Le Monde_2002,Le Monde,2002,0.004896245896816254,immigration
Le Monde_2003,Le Monde,2003,0.0010300399735569954,immigration
Le Monde_2004,Le Monde,2004,-0.003331979736685753,immigration
Le Monde_2005,Le Monde,2005,0.0021433429792523384,immigration
Le Monde_2006,Le Monde,2006,0.00975248496979475,immigration
Le Monde_2007,Le Monde,2007,0.01947780279442668,immigration
Le Monde_2008,Le Monde,2008,0.007423147093504667,immigration
Le Monde_2009,Le Monde,2009,0.003713684156537056,immigration
Le Monde_2010,Le Monde,2010,0.007505565416067839,immigration
Le Monde_2011,Le Monde,2011,0.0012630559504032135,immigration
Le Monde_2012,Le Monde,2012,0.010002263356000185,immigration
Le Monde_2013,Le Monde,2013,-0.006067531183362007,immigration
Le Monde_2014,Le Monde,2014,-0.0020854584872722626,immigration
Le Monde_2015,Le Monde,2015,-0.018022023141384125,immigration
Le Monde_2016,Le Monde,2016,-0.012440014630556107,immigration
Le Monde_2017,Le Monde,2017,-0.00801902823150158,immigration
Le Monde_2018,Le Monde,2018,-0.006106778979301453,immigration
Le Monde_2019,Le Monde,2019,-0.009149346500635147,immigration
Le Monde_2020,Le Monde,2020,-0.020667683333158493,immigration
Le Monde_2021,Le Monde,2021,-0.013069022446870804,immigration
Le Monde_2022,Le Monde,2022,0.0009286357089877129,immigration
