label,newspaper,year,rel_bias,topic
Le Figaro_2002,Le Figaro,2002,0.008596925064921379,impots
Le Figaro_2003,Le Figaro,2003,0.011855004355311394,impots
Le Figaro_2004,Le Figaro,2004,0.005138806998729706,impots
Le Figaro_2005,Le Figaro,2005,0.010286210104823112,impots
Le Figaro_2006,Le Figaro,2006,0.013364734128117561,impots
Le Figaro_2007,Le Figaro,2007,0.010889606550335884,impots
Le Figaro_2008,Le Figaro,2008,0.00836084596812725,impots
Le Figaro_2009,Le Figaro,2009,0.008836962282657623,impots
Le Figaro_2010,Le Figaro,2010,0.004403501749038696,impots
Le Figaro_2011,Le Figaro,2011,0.011979972943663597,impots
Le Figaro_2012,Le Figaro,2012,0.011142006143927574,impots
Le Figaro_2013,Le Figaro,2013,0.008962050080299377,impots
Le Figaro_2014,Le Figaro,2014,0.01366906426846981,impots
Le Figaro_2015,Le Figaro,2015,0.014268433675169945,impots
Le Figaro_2016,Le Figaro,2016,0.011807674542069435,impots
Le Figaro_2017,Le Figaro,2017,0.013960735872387886,impots
Le Figaro_2018,Le Figaro,2018,0.02029772661626339,impots
Le Figaro_2019,Le Figaro,2019,0.01168128289282322,impots
Le Figaro_2020,Le Figaro,2020,0.012855643406510353,impots
Le Figaro_2021,Le Figaro,2021,0.010201198980212212,impots
Le Monde_2002,Le Monde,2002,0.005519142374396324,impots
Le Monde_2003,Le Monde,2003,0.006677696481347084,impots
Le Monde_2004,Le Monde,2004,0.002395773306488991,impots
Le Monde_2005,Le Monde,2005,0.004898544400930405,impots
Le Monde_2006,Le Monde,2006,0.003249427303671837,impots
Le Monde_2007,Le Monde,2007,0.0067226942628622055,impots
Le Monde_2008,Le Monde,2008,0.002598574385046959,impots
Le Monde_2009,Le Monde,2009,-0.0026730485260486603,impots
Le Monde_2010,Le Monde,2010,0.0014251228421926498,impots
Le Monde_2011,Le Monde,2011,0.0031361859291791916,impots
Le Monde_2012,Le Monde,2012,0.0013040434569120407,impots
Le Monde_2013,Le Monde,2013,-0.008860055357217789,impots
Le Monde_2014,Le Monde,2014,-0.005700407549738884,impots
Le Monde_2015,Le Monde,2015,-0.01065282803028822,impots
Le Monde_2016,Le Monde,2016,-0.01747537450864911,impots
Le Monde_2017,Le Monde,2017,-0.006361548788845539,impots
Le Monde_2018,Le Monde,2018,-0.0017615649849176407,impots
Le Monde_2019,Le Monde,2019,-0.0027107875794172287,impots
Le Monde_2020,Le Monde,2020,-0.0019032545387744904,impots
Le Monde_2021,Le Monde,2021,-0.00747342873364687,impots
Le Monde_2022,Le Monde,2022,0.0033192355185747147,impots
